point_index,coord_point_id,grid_x,grid_y,easting_m,northing_m,longitude,latitude
20,utm50n_500m_x1016_y-8532,1016,-8532,508250.000000000291,4266250.000000000000,117.094670836304,38.544630836262
21,utm50n_500m_x1016_y-8533,1016,-8533,508249.999999999709,4266750.000000000000,117.094676744416,38.549136859037
22,utm50n_500m_x1016_y-8534,1016,-8534,508250.000000000175,4267250.000000000000,117.094682653850,38.553642878333
23,utm50n_500m_x1016_y-8535,1016,-8535,508250.000000000582,4267750.000000000000,117.094688564604,38.558148894151
24,utm50n_500m_x1016_y-8536,1016,-8536,508249.999999999593,4268250.000000000931,117.094694476680,38.562654906490
25,utm50n_500m_x1016_y-8537,1016,-8537,508250.000000000407,4268750.000000000931,117.094700390077,38.567160915351
26,utm50n_500m_x1017_y-8491,1017,-8491,508749.999999999010,4245750.000000000931,117.100152743390,38.359876160408
27,utm50n_500m_x1017_y-8492,1017,-8492,508750.000000000990,4246250.000000000000,117.100158952428,38.364382324932
28,utm50n_500m_x1017_y-8493,1017,-8493,508750.000000000000,4246749.999999999069,117.100165162852,38.368888485981
29,utm50n_500m_x1017_y-8494,1017,-8494,508750.000000000175,4247250.000000000000,117.100171374664,38.373394643557
30,utm50n_500m_x1017_y-8495,1017,-8495,508749.999999999185,4247750.000000000000,117.100177587864,38.377900797659
31,utm50n_500m_x1017_y-8496,1017,-8496,508750.000000001048,4248250.000000000000,117.100183802451,38.382406948288
32,utm50n_500m_x1017_y-8497,1017,-8497,508750.000000001048,4248750.000000000931,117.100190018427,38.386913095442
33,utm50n_500m_x1017_y-8502,1017,-8502,508749.999999999360,4251249.999999999069,117.100221119142,38.409443779100
34,utm50n_500m_x1017_y-8503,1017,-8503,508749.999999998952,4251750.000000000000,117.100227343454,38.413949905408
35,utm50n_500m_x1017_y-8504,1017,-8504,508750.000000000873,4252250.000000000000,117.100233569158,38.418456028241
36,utm50n_500m_x1017_y-8505,1017,-8505,508750.000000000407,4252750.000000000000,117.100239796252,38.422962147599
37,utm50n_500m_x1017_y-8506,1017,-8506,508749.999999999302,4253250.000000000000,117.100246024737,38.427468263482
38,utm50n_500m_x1017_y-8507,1017,-8507,508749.999999999360,4253750.000000000000,117.100252254614,38.431974375890
39,utm50n_500m_x1017_y-8508,1017,-8508,508750.000000000116,4254250.000000000000,117.100258485884,38.436480484822
40,utm50n_500m_x1017_y-8509,1017,-8509,508749.999999999010,4254750.000000000000,117.100264718545,38.440986590279
41,utm50n_500m_x1017_y-8510,1017,-8510,508750.000000000058,4255250.000000000000,117.100270952599,38.445492692261
42,utm50n_500m_x1017_y-8511,1017,-8511,508750.000000000466,4255749.999999999069,117.100277188046,38.449998790766
43,utm50n_500m_x1017_y-8512,1017,-8512,508749.999999999884,4256250.000000000931,117.100283424886,38.454504885796
44,utm50n_500m_x1017_y-8524,1017,-8524,508750.000000000407,4262250.000000000000,117.100358375773,38.508577754991
45,utm50n_500m_x1017_y-8525,1017,-8525,508749.999999999360,4262749.999999999069,117.100364630757,38.513083804824
46,utm50n_500m_x1017_y-8526,1017,-8526,508750.000000000873,4263250.000000000000,117.100370887139,38.517589851179
47,utm50n_500m_x1017_y-8527,1017,-8527,508749.999999999767,4263749.999999999069,117.100377144920,38.522095894056
48,utm50n_500m_x1017_y-8528,1017,-8528,508750.000000000000,4264250.000000000931,117.100383404099,38.526601933455
49,utm50n_500m_x1017_y-8529,1017,-8529,508750.000000000640,4264750.000000000931,117.100389664678,38.531107969377
50,utm50n_500m_x1017_y-8530,1017,-8530,508749.999999999127,4265250.000000000000,117.100395926656,38.535614001820
51,utm50n_500m_x1017_y-8531,1017,-8531,508749.999999998952,4265750.000000000000,117.100402190033,38.540120030785
52,utm50n_500m_x1017_y-8532,1017,-8532,508749.999999999709,4266250.000000000000,117.100408454811,38.544626056272
53,utm50n_500m_x1017_y-8533,1017,-8533,508750.000000000524,4266750.000000000000,117.100414720989,38.549132078281
54,utm50n_500m_x1017_y-8534,1017,-8534,508750.000000000815,4267250.000000000000,117.100420988568,38.553638096810
55,utm50n_500m_x1017_y-8535,1017,-8535,508749.999999999709,4267750.000000000000,117.100427257548,38.558144111862
56,utm50n_500m_x1017_y-8536,1017,-8536,508749.999999998894,4268250.000000000000,117.100433527929,38.562650123434
57,utm50n_500m_x1017_y-8537,1017,-8537,508749.999999999767,4268750.000000000000,117.100439799712,38.567156131528
58,utm50n_500m_x1017_y-8538,1017,-8538,508749.999999999418,4269250.000000000000,117.100446072897,38.571662136142
59,utm50n_500m_x1017_y-8539,1017,-8539,508749.999999999185,4269750.000000000000,117.100452347485,38.576168137277
60,utm50n_500m_x1017_y-8540,1017,-8540,508750.000000000815,4270250.000000000931,117.100458623475,38.580674134933
61,utm50n_500m_x1017_y-8541,1017,-8541,508750.000000000990,4270750.000000000000,117.100464900869,38.585180129110
62,utm50n_500m_x1018_y-8491,1018,-8491,509250.000000000698,4245750.000000000000,117.105875748503,38.359871132432
63,utm50n_500m_x1018_y-8492,1018,-8492,509250.000000000582,4246250.000000000000,117.105882312340,38.364377296148
64,utm50n_500m_x1018_y-8493,1018,-8493,509250.000000000175,4246750.000000000000,117.105888877644,38.368883456390
65,utm50n_500m_x1018_y-8494,1018,-8494,509249.999999999825,4247250.000000000000,117.105895444415,38.373389613158
66,utm50n_500m_x1018_y-8495,1018,-8495,509249.999999999767,4247750.000000000931,117.105902012652,38.377895766453
67,utm50n_500m_x1018_y-8496,1018,-8496,509250.000000000291,4248250.000000000000,117.105908582357,38.382401916273
68,utm50n_500m_x1018_y-8497,1018,-8497,509249.999999999418,4248749.999999999069,117.105915153529,38.386908062620
69,utm50n_500m_x1018_y-8498,1018,-8498,509249.999999999593,4249250.000000000000,117.105921726169,38.391414205492
70,utm50n_500m_x1018_y-8499,1018,-8499,509250.000000001106,4249750.000000000000,117.105928300278,38.395920344890
71,utm50n_500m_x1018_y-8500,1018,-8500,509249.999999999709,4250250.000000000000,117.105934875855,38.400426480813
72,utm50n_500m_x1018_y-8501,1018,-8501,509249.999999999884,4250750.000000000000,117.105941452901,38.404932613262
73,utm50n_500m_x1018_y-8502,1018,-8502,509249.999999999825,4251250.000000000000,117.105948031417,38.409438742236
74,utm50n_500m_x1018_y-8503,1018,-8503,509249.999999999709,4251750.000000000000,117.105954611403,38.413944867735
75,utm50n_500m_x1018_y-8504,1018,-8504,509249.999999999476,4252250.000000000931,117.105961192858,38.418450989760
76,utm50n_500m_x1018_y-8505,1018,-8505,509249.999999999534,4252750.000000000000,117.105967775784,38.422957108309
77,utm50n_500m_x1018_y-8506,1018,-8506,509249.999999999884,4253250.000000000000,117.105974360181,38.427463223383
78,utm50n_500m_x1018_y-8507,1018,-8507,509250.000000000815,4253750.000000000000,117.105980946049,38.431969334982
79,utm50n_500m_x1018_y-8508,1018,-8508,509250.000000000000,4254250.000000000000,117.105987533388,38.436475443105
80,utm50n_500m_x1018_y-8509,1018,-8509,509250.000000000000,4254750.000000000931,117.105994122200,38.440981547753
81,utm50n_500m_x1018_y-8510,1018,-8510,509250.000000000815,4255249.999999999069,117.106000712483,38.445487648925
82,utm50n_500m_x1018_y-8511,1018,-8511,509250.000000000407,4255750.000000000000,117.106007304240,38.449993746621
83,utm50n_500m_x1018_y-8512,1018,-8512,509250.000000000873,4256250.000000000931,117.106013897469,38.454499840842
84,utm50n_500m_x1018_y-8513,1018,-8513,509250.000000000291,4256750.000000000000,117.106020492171,38.459005931586
85,utm50n_500m_x1018_y-8514,1018,-8514,509250.000000000815,4257250.000000000000,117.106027088347,38.463512018854
86,utm50n_500m_x1018_y-8515,1018,-8515,509250.000000000291,4257750.000000000000,117.106033685997,38.468018102645
87,utm50n_500m_x1018_y-8523,1018,-8523,509250.000000001106,4261750.000000000931,117.106086520305,38.504066647817
88,utm50n_500m_x1018_y-8524,1018,-8524,509250.000000000466,4262249.999999999069,117.106093131237,38.508572700316
89,utm50n_500m_x1018_y-8525,1018,-8525,509250.000000000873,4262750.000000000000,117.106099743647,38.513078749337
90,utm50n_500m_x1018_y-8526,1018,-8526,509250.000000000116,4263250.000000000931,117.106106357535,38.517584794881
91,utm50n_500m_x1018_y-8527,1018,-8527,509250.000000000175,4263750.000000000000,117.106112972901,38.522090836948
92,utm50n_500m_x1018_y-8528,1018,-8528,509250.000000001048,4264250.000000001863,117.106119589745,38.526596875536
93,utm50n_500m_x1018_y-8529,1018,-8529,509250.000000000407,4264750.000000000000,117.106126208069,38.531102910646
94,utm50n_500m_x1018_y-8530,1018,-8530,509250.000000000291,4265250.000000000000,117.106132827872,38.535608942278
95,utm50n_500m_x1018_y-8531,1018,-8531,509250.000000000582,4265750.000000000000,117.106139449155,38.540114970432
96,utm50n_500m_x1018_y-8532,1018,-8532,509249.999999998952,4266250.000000000000,117.106146071918,38.544620995108
97,utm50n_500m_x1018_y-8533,1018,-8533,509249.999999999709,4266750.000000000000,117.106152696161,38.549127016304
98,utm50n_500m_x1018_y-8534,1018,-8534,509250.000000000407,4267250.000000000000,117.106159321885,38.553633034023
99,utm50n_500m_x1018_y-8535,1018,-8535,509250.000000000873,4267750.000000000000,117.106165949090,38.558139048262
100,utm50n_500m_x1018_y-8536,1018,-8536,509250.000000000873,4268250.000000000931,117.106172577777,38.562645059023
101,utm50n_500m_x1018_y-8537,1018,-8537,509250.000000000407,4268750.000000000000,117.106179207945,38.567151066304
102,utm50n_500m_x1018_y-8538,1018,-8538,509249.999999999127,4269250.000000000000,117.106185839596,38.571657070107
103,utm50n_500m_x1018_y-8539,1018,-8539,509249.999999998952,4269750.000000000000,117.106192472729,38.576163070430
104,utm50n_500m_x1018_y-8540,1018,-8540,509249.999999999709,4270250.000000000931,117.106199107345,38.580669067274
105,utm50n_500m_x1018_y-8541,1018,-8541,509249.999999999010,4270750.000000000000,117.106205743445,38.585175060638
106,utm50n_500m_x1019_y-8490,1019,-8490,509750.000000000466,4245250.000000000000,117.111591835058,38.355359658789
107,utm50n_500m_x1019_y-8491,1019,-8491,509750.000000000815,4245750.000000000931,117.111598752150,38.359865825125
108,utm50n_500m_x1019_y-8492,1019,-8492,509750.000000000407,4246250.000000000000,117.111605670787,38.364371987989
109,utm50n_500m_x1019_y-8493,1019,-8493,509750.000000000407,4246749.999999999069,117.111612590970,38.368878147378
110,utm50n_500m_x1019_y-8494,1019,-8494,509749.999999999127,4247250.000000000000,117.111619512699,38.373384303294
111,utm50n_500m_x1019_y-8495,1019,-8495,509749.999999999767,4247750.000000000000,117.111626435973,38.377890455736
112,utm50n_500m_x1019_y-8496,1019,-8496,509750.000000000873,4248250.000000000931,117.111633360795,38.382396604703
113,utm50n_500m_x1019_y-8497,1019,-8497,509749.999999998952,4248750.000000000000,117.111640287163,38.386902750197
114,utm50n_500m_x1019_y-8498,1019,-8498,509749.999999999127,4249250.000000000000,117.111647215079,38.391408892216
115,utm50n_500m_x1019_y-8499,1019,-8499,509749.999999999884,4249750.000000000000,117.111654144542,38.395915030761
116,utm50n_500m_x1019_y-8500,1019,-8500,509749.999999999825,4250250.000000000000,117.111661075554,38.400421165831
117,utm50n_500m_x1019_y-8501,1019,-8501,509749.999999999767,4250750.000000000000,117.111668008114,38.404927297427
118,utm50n_500m_x1019_y-8502,1019,-8502,509750.000000000407,4251250.000000000000,117.111674942223,38.409433425548
119,utm50n_500m_x1019_y-8503,1019,-8503,509750.000000000175,4251750.000000000931,117.111681877881,38.413939550194
120,utm50n_500m_x1019_y-8504,1019,-8504,509750.000000000058,4252250.000000000931,117.111688815088,38.418445671364
121,utm50n_500m_x1019_y-8505,1019,-8505,509750.000000000466,4252750.000000001863,117.111695753846,38.422951789060
122,utm50n_500m_x1019_y-8506,1019,-8506,509750.000000000000,4253250.000000000000,117.111702694153,38.427457903280
123,utm50n_500m_x1019_y-8507,1019,-8507,509749.999999999360,4253750.000000000931,117.111709636012,38.431964014025
124,utm50n_500m_x1019_y-8508,1019,-8508,509749.999999999185,4254250.000000000000,117.111716579421,38.436470121294
125,utm50n_500m_x1019_y-8509,1019,-8509,509750.000000000175,4254750.000000000931,117.111723524382,38.440976225088
126,utm50n_500m_x1019_y-8510,1019,-8510,509750.000000000698,4255249.999999999069,117.111730470895,38.445482325406
127,utm50n_500m_x1019_y-8511,1019,-8511,509749.999999999185,4255750.000000000931,117.111737418960,38.449988422248
128,utm50n_500m_x1019_y-8512,1019,-8512,509750.000000000815,4256250.000000000000,117.111744368578,38.454494515613
129,utm50n_500m_x1019_y-8513,1019,-8513,509749.999999999418,4256750.000000000000,117.111751319748,38.459000605503
130,utm50n_500m_x1019_y-8514,1019,-8514,509750.000000000116,4257250.000000000000,117.111758272472,38.463506691916
131,utm50n_500m_x1019_y-8515,1019,-8515,509749.999999998952,4257750.000000000931,117.111765226749,38.468012774853
132,utm50n_500m_x1019_y-8516,1019,-8516,509750.000000001048,4258250.000000000931,117.111772182581,38.472518854314
133,utm50n_500m_x1019_y-8522,1019,-8522,509749.999999998952,4261250.000000000000,117.111813950226,38.499555258062
134,utm50n_500m_x1019_y-8523,1019,-8523,509750.000000001106,4261750.000000000931,117.111820916947,38.504061313183
135,utm50n_500m_x1019_y-8524,1019,-8524,509749.999999999593,4262249.999999999069,117.111827885224,38.508567364826
136,utm50n_500m_x1019_y-8525,1019,-8525,509749.999999999302,4262750.000000000000,117.111834855059,38.513073412992
137,utm50n_500m_x1019_y-8526,1019,-8526,509750.000000000698,4263250.000000000000,117.111841826452,38.517579457680
138,utm50n_500m_x1019_y-8527,1019,-8527,509749.999999999825,4263750.000000000000,117.111848799403,38.522085498890
139,utm50n_500m_x1019_y-8528,1019,-8528,509749.999999999302,4264250.000000000931,117.111855773912,38.526591536623
140,utm50n_500m_x1019_y-8529,1019,-8529,509749.999999999534,4264750.000000000000,117.111862749981,38.531097570877
141,utm50n_500m_x1019_y-8530,1019,-8530,509750.000000001048,4265250.000000000000,117.111869727609,38.535603601652
142,utm50n_500m_x1019_y-8531,1019,-8531,509749.999999999709,4265749.999999999069,117.111876706796,38.540109628950
143,utm50n_500m_x1019_y-8532,1019,-8532,509750.000000000407,4266250.000000000000,117.111883687544,38.544615652769
144,utm50n_500m_x1019_y-8533,1019,-8533,509749.999999998952,4266750.000000000000,117.111890669852,38.549121673109
145,utm50n_500m_x1019_y-8534,1019,-8534,509750.000000000175,4267250.000000000000,117.111897653721,38.553627689970
146,utm50n_500m_x1019_y-8535,1019,-8535,509750.000000000175,4267750.000000000000,117.111904639151,38.558133703353
147,utm50n_500m_x1019_y-8536,1019,-8536,509749.999999999185,4268250.000000000000,117.111911626142,38.562639713257
148,utm50n_500m_x1019_y-8537,1019,-8537,509749.999999999709,4268750.000000000000,117.111918614696,38.567145719681
149,utm50n_500m_x1019_y-8538,1019,-8538,509749.999999999767,4269250.000000000931,117.111925604812,38.571651722626
150,utm50n_500m_x1019_y-8539,1019,-8539,509749.999999999884,4269750.000000000000,117.111932596490,38.576157722092
151,utm50n_500m_x1019_y-8540,1019,-8540,509750.000000000175,4270250.000000000931,117.111939589732,38.580663718078
152,utm50n_500m_x1019_y-8541,1019,-8541,509750.000000000990,4270750.000000000000,117.111946584538,38.585169710585
153,utm50n_500m_x1020_y-8487,1020,-8487,510249.999999999127,4243750.000000000000,117.117292676744,38.341835555889
154,utm50n_500m_x1020_y-8488,1020,-8488,510250.000000000116,4244250.000000000931,117.117299943686,38.346341731749
155,utm50n_500m_x1020_y-8489,1020,-8489,510250.000000000582,4244750.000000000000,117.117307212251,38.350847904135
156,utm50n_500m_x1020_y-8490,1020,-8490,510249.999999999825,4245250.000000000000,117.117314482439,38.355354073048
157,utm50n_500m_x1020_y-8491,1020,-8491,510249.999999999127,4245750.000000000000,117.117321754252,38.359860238488
158,utm50n_500m_x1020_y-8492,1020,-8492,510250.000000000000,4246250.000000000000,117.117329027688,38.364366400454
159,utm50n_500m_x1020_y-8493,1020,-8493,510249.999999999418,4246750.000000000000,117.117336302750,38.368872558946
160,utm50n_500m_x1020_y-8494,1020,-8494,510250.000000000873,4247250.000000000000,117.117343579436,38.373378713965
161,utm50n_500m_x1020_y-8495,1020,-8495,510249.999999999185,4247749.999999999069,117.117350857748,38.377884865509
162,utm50n_500m_x1020_y-8496,1020,-8496,510250.000000000291,4248250.000000001863,117.117358137686,38.382391013579
163,utm50n_500m_x1020_y-8497,1020,-8497,510250.000000000873,4248750.000000000931,117.117365419250,38.386897158175
164,utm50n_500m_x1020_y-8498,1020,-8498,510250.000000000116,4249250.000000000000,117.117372702441,38.391403299296
165,utm50n_500m_x1020_y-8499,1020,-8499,510249.999999999418,4249750.000000000000,117.117379987259,38.395909436943
166,utm50n_500m_x1020_y-8500,1020,-8500,510250.000000000058,4250249.999999999069,117.117387273704,38.400415571115
167,utm50n_500m_x1020_y-8501,1020,-8501,510249.999999998952,4250750.000000000931,117.117394561778,38.404921701813
168,utm50n_500m_x1020_y-8502,1020,-8502,510249.999999999534,4251250.000000000931,117.117401851479,38.409427829035
169,utm50n_500m_x1020_y-8503,1020,-8503,510250.000000000873,4251750.000000001863,117.117409142809,38.413933952782
170,utm50n_500m_x1020_y-8504,1020,-8504,510250.000000000000,4252249.999999999069,117.117416435768,38.418440073055
171,utm50n_500m_x1020_y-8505,1020,-8505,510250.000000000058,4252750.000000000000,117.117423730357,38.422946189852
172,utm50n_500m_x1020_y-8506,1020,-8506,510250.000000000291,4253250.000000000000,117.117431026575,38.427452303173
173,utm50n_500m_x1020_y-8507,1020,-8507,510249.999999999709,4253750.000000001863,117.117438324424,38.431958413019
174,utm50n_500m_x1020_y-8508,1020,-8508,510249.999999999418,4254250.000000000000,117.117445623903,38.436464519390
175,utm50n_500m_x1020_y-8509,1020,-8509,510250.000000000815,4254750.000000000000,117.117452925013,38.440970622284
176,utm50n_500m_x1020_y-8510,1020,-8510,510250.000000000407,4255249.999999999069,117.117460227755,38.445476721703
177,utm50n_500m_x1020_y-8511,1020,-8511,510249.999999999476,4255750.000000000000,117.117467532128,38.449982817645
178,utm50n_500m_x1020_y-8512,1020,-8512,510249.999999999302,4256250.000000000931,117.117474838134,38.454488910112
179,utm50n_500m_x1020_y-8513,1020,-8513,510250.000000000873,4256750.000000000000,117.117482145772,38.458994999102
180,utm50n_500m_x1020_y-8514,1020,-8514,510249.999999998952,4257250.000000000000,117.117489455043,38.463501084616
181,utm50n_500m_x1020_y-8515,1020,-8515,510250.000000001048,4257750.000000000000,117.117496765947,38.468007166653
182,utm50n_500m_x1020_y-8516,1020,-8516,510249.999999999476,4258250.000000000000,117.117504078486,38.472513245213
183,utm50n_500m_x1020_y-8517,1020,-8517,510249.999999999825,4258750.000000000000,117.117511392658,38.477019320297
184,utm50n_500m_x1020_y-8518,1020,-8518,510250.000000000873,4259249.999999999069,117.117518708465,38.481525391904
185,utm50n_500m_x1020_y-8519,1020,-8519,510249.999999999534,4259750.000000000931,117.117526025907,38.486031460034
186,utm50n_500m_x1020_y-8520,1020,-8520,510250.000000000990,4260250.000000000000,117.117533344984,38.490537524686
187,utm50n_500m_x1020_y-8521,1020,-8521,510249.999999999825,4260750.000000000000,117.117540665697,38.495043585862
188,utm50n_500m_x1020_y-8522,1020,-8522,510249.999999999302,4261250.000000000931,117.117547988046,38.499549643560
189,utm50n_500m_x1020_y-8523,1020,-8523,510250.000000000407,4261750.000000000000,117.117555312031,38.504055697780
190,utm50n_500m_x1020_y-8524,1020,-8524,510249.999999999709,4262250.000000000000,117.117562637654,38.508561748523
191,utm50n_500m_x1020_y-8525,1020,-8525,510250.000000000407,4262750.000000000000,117.117569964913,38.513067795788
192,utm50n_500m_x1020_y-8526,1020,-8526,510249.999999999127,4263250.000000000931,117.117577293811,38.517573839575
193,utm50n_500m_x1020_y-8527,1020,-8527,510249.999999999127,4263749.999999999069,117.117584624346,38.522079879884
194,utm50n_500m_x1020_y-8528,1020,-8528,510249.999999998952,4264250.000000000000,117.117591956520,38.526585916715
195,utm50n_500m_x1020_y-8529,1020,-8529,510249.999999999767,4264750.000000000931,117.117599290333,38.531091950068
196,utm50n_500m_x1020_y-8530,1020,-8530,510250.000000000175,4265249.999999999069,117.117606625785,38.535597979942
197,utm50n_500m_x1020_y-8531,1020,-8531,510249.999999999010,4265750.000000000000,117.117613962877,38.540104006338
198,utm50n_500m_x1020_y-8532,1020,-8532,510249.999999999360,4266250.000000000000,117.117621301609,38.544610029256
199,utm50n_500m_x1020_y-8533,1020,-8533,510249.999999999825,4266750.000000000000,117.117628641982,38.549116048694
200,utm50n_500m_x1020_y-8534,1020,-8534,510249.999999999185,4267250.000000000000,117.117635983995,38.553622064654
201,utm50n_500m_x1020_y-8535,1020,-8535,510250.000000000524,4267750.000000000000,117.117643327650,38.558128077134
202,utm50n_500m_x1020_y-8536,1020,-8536,510250.000000000291,4268250.000000000000,117.117650672946,38.562634086136
203,utm50n_500m_x1020_y-8537,1020,-8537,510249.999999999185,4268750.000000000000,117.117658019884,38.567140091658
204,utm50n_500m_x1020_y-8538,1020,-8538,510250.000000000524,4269250.000000000931,117.117665368465,38.571646093701
205,utm50n_500m_x1020_y-8539,1020,-8539,510250.000000000582,4269749.999999999069,117.117672718689,38.576152092264
206,utm50n_500m_x1020_y-8540,1020,-8540,510250.000000000116,4270250.000000000931,117.117680070556,38.580658087348
207,utm50n_500m_x1020_y-8541,1020,-8541,510250.000000000000,4270749.999999999069,117.117687424066,38.585164078952
208,utm50n_500m_x1021_y-8485,1021,-8485,510750.000000000407,4242750.000000000000,117.122999021076,38.332817333432
209,utm50n_500m_x1021_y-8486,1021,-8486,510749.999999999825,4243250.000000000000,117.123006639097,38.337323515297
210,utm50n_500m_x1021_y-8487,1021,-8487,510749.999999999534,4243750.000000000000,117.123014258818,38.341829693688
211,utm50n_500m_x1021_y-8488,1021,-8488,510749.999999999476,4244250.000000000931,117.123021880242,38.346335868607
212,utm50n_500m_x1021_y-8489,1021,-8489,510749.999999999418,4244750.000000000931,117.123029503368,38.350842040051
213,utm50n_500m_x1021_y-8490,1021,-8490,510749.999999999127,4245250.000000000931,117.123037128197,38.355348208023
214,utm50n_500m_x1021_y-8491,1021,-8491,510750.000000000466,4245750.000000000000,117.123044754729,38.359854372521
215,utm50n_500m_x1021_y-8492,1021,-8492,510750.000000001106,4246250.000000000000,117.123052382965,38.364360533545
216,utm50n_500m_x1021_y-8493,1021,-8493,510750.000000000815,4246749.999999999069,117.123060012904,38.368866691095
217,utm50n_500m_x1021_y-8494,1021,-8494,510749.999999999185,4247250.000000000931,117.123067644548,38.373372845171
218,utm50n_500m_x1021_y-8495,1021,-8495,510750.000000000524,4247750.000000000000,117.123075277897,38.377878995772
219,utm50n_500m_x1021_y-8496,1021,-8496,510750.000000000000,4248250.000000000000,117.123082912951,38.382385142900
220,utm50n_500m_x1021_y-8497,1021,-8497,510749.999999999593,4248750.000000000000,117.123090549710,38.386891286553
221,utm50n_500m_x1021_y-8498,1021,-8498,510749.999999998894,4249250.000000000000,117.123098188176,38.391397426732
222,utm50n_500m_x1021_y-8499,1021,-8499,510749.999999999884,4249750.000000000000,117.123105828348,38.395903563436
223,utm50n_500m_x1021_y-8500,1021,-8500,510749.999999999884,4250249.999999999069,117.123113470227,38.400409696665
224,utm50n_500m_x1021_y-8501,1021,-8501,510750.000000000815,4250750.000000000000,117.123121113813,38.404915826419
225,utm50n_500m_x1021_y-8502,1021,-8502,510750.000000000116,4251249.999999999069,117.123128759107,38.409421952698
226,utm50n_500m_x1021_y-8503,1021,-8503,510749.999999999534,4251750.000000000000,117.123136406109,38.413928075503
227,utm50n_500m_x1021_y-8504,1021,-8504,510750.000000000990,4252250.000000000000,117.123144054819,38.418434194831
228,utm50n_500m_x1021_y-8505,1021,-8505,510749.999999999534,4252749.999999999069,117.123151705238,38.422940310685
229,utm50n_500m_x1021_y-8506,1021,-8506,510749.999999999185,4253250.000000000000,117.123159357367,38.427446423063
230,utm50n_500m_x1021_y-8507,1021,-8507,510749.999999999709,4253750.000000000000,117.123167011205,38.431952531965
231,utm50n_500m_x1021_y-8508,1021,-8508,510750.000000000291,4254250.000000000000,117.123174666754,38.436458637391
232,utm50n_500m_x1021_y-8509,1021,-8509,510750.000000000815,4254750.000000000931,117.123182324013,38.440964739342
233,utm50n_500m_x1021_y-8510,1021,-8510,510750.000000000524,4255249.999999999069,117.123189982983,38.445470837816
234,utm50n_500m_x1021_y-8511,1021,-8511,510749.999999999127,4255750.000000000000,117.123197643664,38.449976932814
235,utm50n_500m_x1021_y-8512,1021,-8512,510750.000000000407,4256250.000000000000,117.123205306057,38.454483024337
236,utm50n_500m_x1021_y-8513,1021,-8513,510749.999999999476,4256750.000000000000,117.123212970163,38.458989112382
237,utm50n_500m_x1021_y-8514,1021,-8514,510750.000000000407,4257250.000000000931,117.123220635981,38.463495196951
238,utm50n_500m_x1021_y-8515,1021,-8515,510750.000000000058,4257750.000000000000,117.123228303512,38.468001278044
239,utm50n_500m_x1021_y-8516,1021,-8516,510750.000000000407,4258250.000000000000,117.123235972756,38.472507355659
240,utm50n_500m_x1021_y-8517,1021,-8517,510750.000000000815,4258750.000000000000,117.123243643715,38.477013429798
241,utm50n_500m_x1021_y-8518,1021,-8518,510750.000000000640,4259250.000000000000,117.123251316387,38.481519500460
242,utm50n_500m_x1021_y-8519,1021,-8519,510749.999999999360,4259750.000000000000,117.123258990774,38.486025567645
243,utm50n_500m_x1021_y-8520,1021,-8520,510750.000000000698,4260250.000000000000,117.123266666877,38.490531631352
